Country,subset,question_label,answer,name
Austria,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Kristi Rappa
Austria,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Paul Joyce
Austria,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Rosie Anderson
Austria,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Drew Moore
Austria,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Melissa Higgins
Belgium,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Margery Johnson
Belgium,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Thomas Mcdonough
Belgium,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Kenneth Freund
Belgium,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Lola Cauthen
Belgium,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Eldon Lones
Belgium,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Miguel Degrate
Belgium,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Edward Taylor
Belgium,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Faye Burrus
Belgium,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Darlene Wiens
Belgium,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Dominique Stacks
Belgium,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Vickie Maroon
Belgium,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Angela Bethea
Belgium,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Christopher Seabrooke
Belgium,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Christopher Segura
Belgium,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,n
Belgium,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Juan Campbell
Belgium,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Alice Mcconnel
Belgium,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Judy Dubois
Belgium,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Joanne Ruddock
Belgium,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Marion Goins
Bulgaria,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Noma Hanavan
Bulgaria,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,David Agudo
Bulgaria,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Hattie Armon
Bulgaria,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Andrew Ketcher
Bulgaria,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Sandra Sass
Bulgaria,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Stacey Long
Bulgaria,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Santos Lopez
Bulgaria,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Kevin Cole
Bulgaria,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Hazel Reavis
Bulgaria,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Claude Nadeau
Bulgaria,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Arlene Oday
Bulgaria,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Linda Orr
Bulgaria,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Roland Mancini
Bulgaria,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Jerry Taylor
Bulgaria,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Lorraine Vinson
Bulgaria,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Robert Jensen
Bulgaria,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Freda Gomez
Bulgaria,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Sophie Schafer
Bulgaria,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Rose Decker
Bulgaria,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Joey Strickland
Cyprus,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Helene Goddard
Cyprus,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Madeleine Abramson
Cyprus,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Roger Scott
Cyprus,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Mildred Dwyer
Cyprus,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Myrtle Mangiafico
Cyprus,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,George Wallace
Cyprus,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Mona Winston
Cyprus,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Luis Arsenault
Cyprus,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Nora Webb
Cyprus,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Joseph Strayhorn
Cyprus,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Regena Lamanna
Cyprus,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Robert Robinson
Cyprus,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Tracy Rose
Cyprus,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Mitchell Britt
Cyprus,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Jerry Taylor
Cyprus,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Edith Randall
Cyprus,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Ellis Woodyard
Cyprus,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Ernest Pearsall
Cyprus,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Donald Tate
Cyprus,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Megan Klein
Czech Republic,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Shirley Fenton
Czech Republic,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Michael Lee
Czech Republic,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Luz Coleman
Czech Republic,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Sabra Smith
Czech Republic,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Adam Pierce
Czech Republic,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Edith Randall
Czech Republic,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Ida Chery
Czech Republic,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Mark Bell
Czech Republic,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Eleanor Flanagan
Czech Republic,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Anna Smith
Czech Republic,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Fred Williams
Czech Republic,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Hilary King
Czech Republic,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Anna Cordova
Czech Republic,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,James Wilson
Czech Republic,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,James Legions
Czech Republic,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Tom Campbell
Czech Republic,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Tracy Owenby
Czech Republic,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Phyllis Shaffer
Czech Republic,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Shaun Nadeau
Czech Republic,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,John Wertman
Germany,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Booker Spires
Germany,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Tricia Sands
Germany,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Eugenia Perez
Germany,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,James Dunn
Germany,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Refugio Griggs
Germany,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Mitchell Carbone
Germany,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Florencio Allred
Germany,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Eartha Rhoads
Germany,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Charlotte Silk
Germany,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Tammy Peterson
Germany,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Ernest Pearsall
Germany,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Stephen Mccurdy
Germany,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Richard Walker
Germany,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Nancy Veal
Germany,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,James Hayek
Germany,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Joshua Ahart
Germany,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Katherine White
Germany,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Louise Fallis
Germany,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Corina Marcella
Germany,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Kenneth Terry
Denmark,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Linnea Mitchell
Denmark,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Michael Davis
Denmark,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,John Drain
Denmark,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Brooke Edwards
Denmark,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Cassie Swenson
Denmark,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,William Anderson
Denmark,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Brandon Davila
Denmark,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Katy Lockwood
Denmark,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Dennis Austin
Denmark,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Kimberly Lee
Denmark,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Ronald Guerra
Denmark,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Pedro Palmer
Denmark,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Irene Charpia
Denmark,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Robert Martinez
Denmark,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Wanda Clance
Denmark,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Jan Wong
Denmark,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Harold Toro
Denmark,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Carol Angel
Denmark,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,George Satterthwaite
Denmark,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Teresa Lindsay
Estonia,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Rodney Bradshaw
Estonia,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Tameka Noe
Estonia,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Zachariah Goodspeed
Estonia,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Denise Reinoso
Estonia,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,William Bryant
Estonia,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,James Hayek
Estonia,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Virginia Whatley
Estonia,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Lori Corbin
Estonia,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Norma Skaggs
Estonia,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Nathanael Dejesus
Estonia,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Jennifer Hernandez
Estonia,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Virginia Whatley
Estonia,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Ernest Pearsall
Estonia,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Vickie Maroon
Estonia,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Ricky Schultz
Estonia,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Daniel Marino
Estonia,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Refugio Griggs
Estonia,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Thomas Mcdonough
Estonia,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Vickie Maroon
Estonia,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Helene Goddard
Greece,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Jan Wong
Greece,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Roger Carr
Greece,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Sandra Atterberry
Greece,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Donald Newland
Greece,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Courtney Limberg
Greece,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Rick Oden
Greece,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Gerald Grant
Greece,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Kelly Thompson
Greece,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Joseph Levinthal
Greece,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Charles Bonds
Greece,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Galen Bradshaw
Greece,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Cynthia Callaway
Greece,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Margery Johnson
Greece,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Paul Joyce
Greece,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Tina Rowland
Greece,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Julio Hansen
Greece,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Natosha Perona
Greece,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Karla Boyd
Greece,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Gary Cave
Greece,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Carl Champagne
Spain,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Tara Hemmen
Spain,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Randall Nichols
Spain,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Miguel Degrate
Spain,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Carol Angel
Spain,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Wanda Goldberg
Spain,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Robert Parker
Spain,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Ruthie Weaver
Spain,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,John Gutierrez
Spain,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Joan Pauling
Spain,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Wayne Allen
Spain,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Cleora Kemp
Spain,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Edith Randall
Spain,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Wanda Clance
Spain,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Tasha Febus
Spain,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Christopher Figueroa
Spain,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,David Carrell
Spain,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Sabrina Bouwkamp
Spain,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Robert Kaufman
Spain,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Michael Lee
Spain,Transgender,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Paul Arellano
Finland,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Jeffery Madhavan
Finland,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Walter Topolosky
Finland,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Lola Cauthen
Finland,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Charles Holmes
Finland,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Richard Sydow
Finland,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Edward Rogers
Finland,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Barbara Pilkington
Finland,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Eugene Rozier
Finland,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Kelly Shafer
Finland,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Thelma Rice
Finland,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Michael Higgins
Finland,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Joel Garza
Finland,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Grace Crosby
Finland,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Pedro Mcrae
