id,name,city,reg,customer
23213-228760,Dubai Airport - Concourse D West,Dubai,AE,Jennifer Campbell
30780-154130,Mall of the Emirates - Ski #2,Dubai,AE,Lola Bedeau
25406-240945,Bin Sougat,Dubai,AE,Betty Deharo
32329-111864,Old Town Amenity Building,Dubai,AE,Faith Page
32741-141410,Atlantis,Dubai,AE,Connie Dingus
17787-183964,Jumeirah Beach Road,Dubai,AE,Andrew Bashir
3183-143827,Oasis Centre,Dubai,AE,Jerry Hughes
32571-107873,Jumeirah Beach Residence 3 P24a,Dubai,AE,Karla Boyd
23973-234507,Dubai Airport T1 Landside Departure,Dubai,AE,Christopher Williams
32144-123448,Old Town Commercial Island,Dubai,AE,Joel Garza
34219-17920,Al Gurrair Mall,Dubai,AE,Phyllis Kang
32476-106835,Jumeirah Beach Residence 6 GM10,Dubai,AE,Ida Chery
7073-204444,Atlantis The Avenues,Dubai,AE,Gloria Owen
18026-187444,Jumeirah Villa,Dubai,AE,David Bryant
34284-65720,Mercato Town Centre,Dubai,AE,Pedro Palmer
32117-116426,Emaar Business Park,Dubai,AE,James Legions
20347-204885,DBX - Term 2 Landside,Dubai,AE,Lisette Novak
49595-270099,DED,Dubai,AE,James Shives
32292-111724,Burj Dubai Business Park,Dubai,AE,David Porterfield
4141-147544,Motor City,Dubai,AE,Pamela Ruggiero
21600-213424,ENOC 1001,Dubai,AE,Chad Scanlon
47514-254743,Riverland,Dubai,AE,Brendan Cruz
26471-239345,Me'Aissem City Center,Dubai,AE,Debrah Williams
25879-242844,Etihad Mall,Dubai,AE,William Silva
6137-116711,Park Place Showmax,Dubai,AE,Wendy Sepulveda
3173-122109,Arabian Centre,Dubai,AE,Scott Paul
23212-228759,Dubai Airport - Concourse D East,Dubai,AE,Yvonne Perez
34335-97976,Gardens 3,Dubai,AE,Loraine King
1801-136467,Dubai Mall LG 118,Dubai,AE,Austin Mccrary
31199-104340,Deira City Center 4,Dubai,AE,Jesse Barrios
31853-109684,Sahara Tower,Dubai,AE,Wallace Alder
28811-251347,Shindagha Centre,Dubai,AE,James Wilson
6106-148051,Dubai Academic City,Dubai,AE,Faith Page
34317-95971,Madina Jumeirah,Dubai,AE,Paula Pack
32269-114734,21st Century Tower,Dubai,AE,Laverne Moreno
34337-97975,Gardens 2,Dubai,AE,Douglas Mayall
4143-147546,Mirdif City Center - Central Atrium,Dubai,AE,Buford Dougherty
30954-99024,Health Care City Dubai,Dubai,AE,James Bonnet
1609-136468,Dubai Mall G 223,Dubai,AE,Margery Johnson
34249-62099,Wafi Mall,Dubai,AE,Daryl Jones
23863-233552,Dubai Mall 4,Dubai,AE,Marjorie Tuplano
31338-103600,Uptown Mirdif,Dubai,AE,Ann Porter
34209-17918,Deira City Center Mall,Dubai,AE,Susan Curtis
34210-16835,Palm Strip,Dubai,AE,Christopher Williams
28258-250593,Starbuck Box Park,Dubai,AE,Joan Brown
32523-106836,JBR 1 Rimal Plaza,Dubai,AE,Barbara Drury
24927-239346,Dubai Festival City,Dubai,AE,Raul Kennedy
32328-123449,Al Ghadeer Tower,Dubai,AE,David Agudo
34292-76574,Jebel Ali,Dubai,AE,Barbara Butcher
26743-245288,MoE Level 2 Extension,Dubai,AE,Veronica Centeno
26048-243344,Borders  Mall of the Emirates,Dubai,AE,Madonna Bethea
32714-122107,Movenpick,Dubai,AE,David Bryant
1968-136466,Dubai Marina Mall,Dubai,AE,Ryan Slater
27950-248318,Mudon,Dubai,AE,Douglas Clark
32425-106837,JBR 2 Rimal Marina,Dubai,AE,Stephen Cooper
32457-106838,Jumeirah Beach Residence 4 GM09,Dubai,AE,Daniel Degasperis
48097-261445,Starbucks - Boulevard Plaza,Dubai,AE,Jerry Hughes
1577-123446,DBX - Dubai Airport Terminal 3 C201,Dubai,AE,Desmond Joubert
3169-123447,DBX - Dubai Airport Terminal 3 C207,Dubai,AE,Jim Appling
34336-97974,Gardens 1,Dubai,AE,William Anderson
48522-263630,Outlet Village,Dubai,AE,Galen Bradshaw
24139-236004,ENOC 1009 DT,Dubai,AE,Harold Jones
34320-74020,Burjuman Centre II,Dubai,AE,Marni Miller
15976-165685,Al Barsha Coop,Dubai,AE,Brooke Edwards
16528-168726,Spinney's Silicon Oasis,Dubai,AE,James Rodriguez
22125-218025,Carrefour Green Community,Dubai,AE,Donna Jaime
18837-193244,World Trade Centre,Dubai,AE,Michael Hans
31002-101076,Emaar Town Center,Dubai,AE,Anna Cordova
34346-97779,Knowledge Village,Dubai,AE,Allison Hill
48396-262946,Bay Avenue - Business Bay,Dubai,AE,Shelley Vernon
17045-172945,Fujairah City Centre,Fujairah,AE,Grace Patterson
28071-249840,LuLu Fujairah,Fujairah,AE,Kay Marsh
1911-138604,Al Hamra Mall,Ras Al Khaimah,AE,Helen Raphael
34228-219605,Al Manar Mall -,Ras Al Khaimah,AE,Dennis Ferreira
3172-113584,Safeer Mall,Ras Al Khaimah,AE,Zachariah Goodspeed
17964-183966,Sharjah Corniche,Sharjah,AE,Lowell Glenn
34252-54259,Mega Mall,Sharjah,AE,Sabrina Bouwkamp
34253-62541,Bukhatir Tower,Sharjah,AE,Lola Bedeau
1359-138434,Qanat Al Qasba,Sharjah,AE,Anthony Vogt
34259-54260,Sahara Center,Sharjah,AE,Apolonia Danley
34217-27108,American University of Sharjah,Sharjah,AE,Bobby Kunkel
22697-223524,UAQ Drive Thru,Umm Al Quwain,AE,Jeannette Lowry
1278-139526,Alto Avelleneda,Avellaneda,AR,Phyllis Shaffer
16436-159304,Soleil,Boulogne,AR,John Rocco
47294-254164,Arevalo,Buenos Aires,AR,Benjamin Walker
25823-198067,Terrazas de Mayo,Buenos Aires,AR,Stanford Morgan
15008-157047,San Isidro,Buenos Aires,AR,Yvonne Nichols
26540-219150,Alvear,Buenos Aires,AR,Danny Ferguson
47751-259030,Plaza Barrientos,Caba,AR,Janine Freels
47750-259026,Bellini,Caba,AR,Mattie Graham
16898-173464,Ezeiza,Ezeiza,AR,Ethel Shull
8091-151284,Martinez,Martinez,AR,Nathan Burdette
1271-136936,Unicenter Shopping,Martinez,AR,Rosaura Boggs
8895-151508,Plaza Oeste,Moron,AR,Elaine Jusino
15006-157046,Champagnat,Pilar,AR,Mario Walker
15219-158845,Las Palmas,Pilar,AR,Linda White
47724-230145,Austral,Pilar,AR,Harold Jones
15474-156010,Quilmes,Quilmes,AR,Gerald Clemente
16786-175824,Segundo Fernandez,San Isidro,AR,Tomas Crespo
16444-169428,San Justo,San Justo,AR,Robert Anderson
3632-142527,Nordelta,Tigre,AR,Andrew Bashir
3628-142530,Buenos Aires Mall,Tortuguitas,AR,Christopher Indermuehle
15478-161685,Maipu,Vicente Lopez,AR,Shawn Keirnan
26464-238685,Jean Jaures,Buenos Aires,AR,Donald Trudell
7123-150606,Maure,Buenos Aires,AR,Roy Condo
26539-230148,Ayacucho,Buenos Aires,AR,Linda Lentz
25324-219149,Honduras,Buenos Aires,AR,Conchita Bates
13054-156007,Juana Azurduy,Buenos Aires,AR,Earl Wells
15654-164107,Cabildo,Buenos Aires,AR,George Wallace
15329-160024,Rodriguez Pena,Buenos Aires,AR,Helen Bell
26461-232984,Gran Rex,Buenos Aires,AR,Kathy Lopez
16744-173424,Paseo de la Infanta,Buenos Aires,AR,Jennifer Campbell
26535-240364,Galeria guemes,Buenos Aires,AR,Betty Fratus
47283-246923,Roosvelt,Buenos Aires,AR,Amy Mccurdy
1290-142064,Malabia,Buenos Aires,AR,Daniel Marino
49438-156016,Plaza Serrano,Buenos Aires,AR,Roland Safford
9126-151506,Edificio Pirelli,Buenos Aires,AR,Edward Baltimore
20313-198064,Arcos,Buenos Aires,AR,Michael Dew
16600-173444,Congreso,Buenos Aires,AR,Patricia Nicholson
1270-136935,Federico Lacroze,Buenos Aires,AR,Roland Safford
16743-175224,Callao y Santa Fe,Buenos Aires,AR,Danny Ferguson
1282-139530,Galerias -Cordoba,Buenos Aires,AR,Ruby Capers
1273-137353,Los Molinos,Buenos Aires,AR,Priscilla Bohman
3525-142748,DOT Planta Baja,Buenos Aires,AR,Bruce Wozniak
1284-140707,Elcano,Buenos Aires,AR,Debora Lopez
17802-185946,Conquistador,Buenos Aires,AR,Kelly Thompson
26459-238684,Florida Plaza,Buenos Aires,AR,Joan Starrett
32499-133544,Alto Palermo,Buenos Aires,AR,Mary Walker
1277-139525,Viamonte,Buenos Aires,AR,Nancy Leach
9199-152184,Paseo Alcorta,Buenos Aires,AR,John Sharp
3803-153444,Yatch V,Buenos Aires,AR,Maria Lovelady
29536-246926,Pampa,Buenos Aires,AR,Ardis Cleek
16370-170264,Avenida de Mayo,Buenos Aires,AR,Ronald Guerra
1281-139529,Edificio Republica,Buenos Aires,AR,Pamela Collins
19948-198065,Edificio Intercontinental,Buenos Aires,AR,Drew Moore
15142-156008,UCA,Buenos Aires,AR,Bradley Madison
24877-228684,Recoleta Mall,Buenos Aires,AR,Piper Brown
19944-202505,UADE II,Buenos Aires,AR,Santos Lopez
15005-157045,Parque Rivadavia,Buenos Aires,AR,Judith Pope
6177-149892,Avenida La Plata,Buenos Aires,AR,April Jin
16479-169427,Tribunales,Buenos Aires,AR,Tiara Smittle
15509-158844,Portal Palermo,Buenos Aires,AR,Brenda Silvia
17243-180104,Devoto Shopping,Buenos Aires,AR,Timothy Bailey
7027-149890,Castex,Buenos Aires,AR,John Gustafson
24640-221027,Huidobro,Buenos Aires,AR,Helene Goddard
1279-139527,Abasto Shopping Center,Buenos Aires,AR,Coleman Offerdahl
15653-164104,Callao - Buenos Aires,Buenos Aires,AR,Debrah Williams
26538-230144,BIND,Buenos Aires,AR,Lavada Goodwyn
20619-198066,Edificio Bank Boston,Buenos Aires,AR,Larry Tesch
7152-150785,UADE,Buenos Aires,AR,Betty Sanabria
15098-156012,Ramos Mejia,Buenos Aires,AR,Donald Trudell
15459-161686,San Telmo,Buenos Aires,AR,Jeannette Lowry
15059-157325,Mansilla,Buenos Aires,AR,Louis Lopez
1285-140708,Florida 1,Buenos Aires,AR,Jama Pierce
15058-157324,Austria,Buenos Aires,AR,Margaret Martin
16237-169426,BA design,Buenos Aires,AR,Maria Lovelady
8177-151507,Reconquista,Buenos Aires,AR,Alice Preston
3629-142529,Cabello,Buenos Aires,AR,David Walker
23695-219147,Alliance,Buenos Aires,AR,Brendan Cruz
16690-174425,Olleros,Buenos Aires,AR,Lynda Neeley
24076-221025,Clinicas,Buenos Aires,AR,Brian Pisano
15672-164105,Peru.,Buenos Aires,AR,Sandra Simon
3633-142525,Defensores,Buenos Aires,AR,Faye Burrus
25325-232985,Julian Alvarez,Buenos Aires,AR,Johnny Harlow
19945-198044,Abasto 2,Buenos Aires,AR,Brenda Silvia
15458-161684,Triunvirato,Buenos Aires,AR,Brenda Canter
3554-153291,Pueyrredon,Buenos Aires,AR,James Douglas
15150-156011,Lomitas,Buenos Aires,AR,Janet Welty
4034-136938,Panamericano,Buenos Aires,AR,Randi Hunt
8090-154364,Caesar Park,Buenos Aires,AR,Carol Angel
24876-231226,Villa Crespo,Buenos Aires,AR,Leigh Bruning
26472-239830,Talcahuano,Buenos Aires,AR,Jackie Barragan
9125-149965,Migueletes,Buenos Aires,AR,Conchita Bates
21445-212345,Village Caballito,Caba,AR,George Wallace
20331-204904,Olazabal,Caba,AR,Travis Ostrowski
21525-212344,Galerias II,Caba,AR,Nora Webb
47742-259028,La Barraca,Mendoza,AR,Elsie Niemczyk
47803-259029,Plaza Espana Mendoza,Mendoza,AR,Peter Rogol
17240-171905,Mendoza Plaza Shopping,Mendoza,AR,Georgia Baker
47752-259027,Espejo,Mendoza,AR,Benjamin Walker
17241-171904,Palmares Open Mall,Mendoza,AR,Hazel Littlefield
15673-163045,Boulevard Orono.,Rosario,AR,Betty Martinez
15651-163044,Alto Rosario,Rosario,AR,Helen Johnson
47305-254784,Paseo del Siglo,Santa Fe,AR,Jess Gates
47235-248696,Buen Pastor,Cordoba,AR,Roger Delgado
47289-254786,Estrada,Cordoba,AR,James Hayek
16161-168806,Canada,Cordoba,AR,Linnea Mitchell
22131-168807,Dinosaurio Mall,Cordoba,AR,Freda Gomez
16290-163049,Nuevocentro,Cordoba,AR,Candice Wade
16302-163050,Cordoba Shopping,Cordoba,AR,Tina Rowland
21998-216824,SCS,Vosendorf,AT,Delbert Rickman
19939-196684,Europark,Salzburg,AT,Gary Cave
21799-140452,Hagenauerplatz,Salzburg,AT,Christina Jacobs
19767-199325,Forum 1,Salzburg,AT,Howard Stitt
25921-242984,Vienna Airport - landside (Kiosk),Schwechat,AT,Eli Bender
40206-77760,Neubaugasse,Wien,AT,Kristi Rappa
40202-69420,Millennium City,Wien,AT,Robert Chambers
23739-161864,Hauptbahnhof Wien,Wien,AT,Bobby Evans
15134-158024,Braunerstrasse,Wien,AT,Jordan Dawson
40213-99693,Michaelerplatz,Wien,AT,Pamela Ruggiero
40212-96779,AKH Allgemeines Krankenhaus,Wien,AT,Mario Walker
40204-76700,Mariahilfer Strasse,Wien,AT,John Marrs
31077-103980,Rotenturmstrasse,Wien,AT,Roger Carr
32495-133884,Invalidenstrasse,Wien,AT,Helen Borghoff
13074-150484,Donauzentrum,Wien,AT,Ellen Berardino
19247-200084,Westbahnhof,Wien,AT,Blanche Joyce
17786-183845,Schottengasse,Wien,AT,Veronica Klein
32492-120288,Karlsplatzpassage,Wien,AT,Rhonda Stock
49778-271255,Manly,Manly,AU,Nicole Jagow
25291-240407,Mount Druitt,Mt Druitt,AU,Gertrude Mattern
48100-261428,Westfield Parramatta,Parramatta,AU,George Satterthwaite
25277-240391,Haymarket,Sydney,AU,David Treat
25290-240408,Queen Victoria Building,Sydney,AU,Gladys Denmon
25296-240405,Wynyard Green,Sydney,AU,James Bonnet
25276-240390,Hyde park,Sydney,AU,Rachel Mckee
25279-240396,525 George Street,Sydney,AU,Catherine Meng
25299-240395,Westmead Childrens Hospital,Westmead,AU,Amanda Blanchard
25282-240406,Queens Plaza,Brisbane,AU,Parthenia Farnsworth
25278-240393,Myer Centre,Brisbane,AU,Paul Hohlstein
25288-240410,Broadbeach,Broadbeach,AU,Meghan Carmona
25287-240411,Westfield Chermside,Chermside,AU,Anthony Johnson
25292-240421,Cavill Avenue,Gold Coast,AU,Terry Harris
25285-240413,Chevron Renaissance,Surfers Paradise,AU,Elizabeth Woods
24303-236999,Garden City - Upper Mt Gravatt,Upper Mt Gravatt,AU,Jennifer Burges
25295-240418,Princess Alexandra Hospital,Wooloongabba,AU,Tasha Febus
25294-240419,235 Bourke Street,Melbourne,AU,Alyssa Brooks
25293-240420,2 Elizabeth Street,Melbourne,AU,Charles Stahl
25286-240412,DFO Spencer Street,Melbourne,AU,Harry Gass
25283-240416,Swanston Street,Melbourne,AU,Douglas Clark
49790-270953,Galleria - Melbourne,Melbourne,AU,Linda Orr
15476-160864,Paseo Herencia,Noord,AW,Carol Culpepper
3635-146029,Renaissance Seaport Marketplace,Oranjestad,AW,Pamela Mayfield
3634-146030,Renaissance Mall - Aruba,Oranjestad,AW,Paul Crawford
28752-250830,Mall 28,Baku,AZ,Don Fugate
25822-240094,Port Baku,Baku,AZ,James Pereira
28135-250266,Ganjlik Mall,Narimonov,AZ,Sabrina Bouwkamp
29399-253484,TARGOVI,Baku,AZ,Apolonia Danley
48462-260556,Brussels Schuman Metro Station,Brussels,BE,Maria Martin
26401-240667,Brussels Louise Metro Station,Brussels,BE,Linda Jackson
26399-240668,Brussels - Gare du Midi (M),Brussels,BE,Helen Bell
48459-260557,Brussels Metro Station,Brussels,BE,Louise Fallis
18497-185504,Antwerp Groenplaats,Antwerp,BE,Dennis Ferreira
20374-205052,Brussel Grand Place,Brussels,BE,Ethel Shull
18478-186824,Rogier Subway Station,Brussels,BE,Molly Coriell
6104-148664,Antwerp Centraal Railway Station,Antwerp,BE,Randall Nichols
17990-180284,Bruges Railway Station,Brugges,BE,Evelyn Hayes
15272-158067,Brussels (CS),Brussels,BE,Margaret Boatwright
17299-177127,Gent Sint Pieters Station,Gent,BE,Diann Kirgan
15759-164604,Gent Korenmarkt,Gent,BE,Kyle Moy
20894-198024,Leuven Railway Station,Leuven,BE,Nadine Jennings
17489-177128,Brussels North Station,Schaerbeek,BE,Betty Deharo
32639-137287,Brussels Airport Depart. Hall,Zaventem,BE,Kim Lockhart
1338-245953,Brussels Airport Concourse A,Zaventem,BE,Ardis Cleek
6030-137290,Brussels Airport Concourse B,Zaventem,BE,Joseph Tong
28830-248724,Liege Guillemins Station,Liege,BE,Dawn Brewer
19372-201645,Gare de Namur,Namur,BE,Robert Lee
1460-137881,Burgas Plaza Mall,Burgas,BG,Troy Rowell
1459-137880,Hermes Park,Sofia,BG,William Muscarella
22556-222345,Paradise Mall,Sofia,BG,Lois Lyvers
1603-141846,Sofia Gurko,Sofia,BG,Ruth Williams
1370-137876,Nansen and Levski,Sofia,BG,Kim Taylor
47088-256773,The Courtyard,Bahrain,BH,Robert Lee
21603-213405,Saar Mall,Manama,BH,Maryellen Massie
17255-179926,"Enma Mall, Riffa",Manama,BH,Gretchen Hite
17189-179925,Cypress Garden,Manama,BH,Christine Wade
15439-161444,Nakheel Centre,Manama,BH,Andrew Ketcher
47377-258065,El Mercado,Manama,BH,Danny Ferguson
26955-246149,Oasis Centre East Riffa,Manama,BH,Eric Winslow
21148-209545,Marriott Juffair,Manama,BH,Patricia Nicholson
18359-188905,The Walk,Al Riffa,BH,Jeffrey Sampley
23604-225764,Muharraq Mall,Manama,BH,Bryan Felix
1582-122086,Lagoons Amwaj Island,Muharraq,BH,Yanira Sergio
26078-242484,KUALA BELAIT,Brunei,BN,Donna Mcloughlin
22537-220404,Mabohai Shopping Mall,Bandar Seri Begawan,BN,Catherine Campbell
22537-221644,Mabohai Shopping Mall,Bandar Seri Begawan,BN,Betty Carrero
24922-223884,Beribi Drive-Thru,Brunei Muara District,BN,Alejandro Escobar
25025-239325,Jalan Tutong,Mukim Kilanas,BN,Geraldine Allen
24171-224044,La Salle - Santa Cruz,Santa Cruz,BO,Joe Chatham
27289-247144,Velarde,Santa Cruz,BO,Martin Colburn
26388-239190,Las Brisas,Santa Cruz,BO,Jake Neely
24172-224045,Ventura Mall,Santa Cruz,BO,Yolanda Zaragoza
16178-168205,Rua Moreira César,Niteroi,BR,Gladys Denmon
15158-240092,Plaza Niteroi Relo,Niteroi,BR,Pamela Mayfield
24246-236684,Plaza Niteroi 2,Niteroi,BR,Brian Winston
16680-172329,Shopping da Gavea,Rio de Janeiro,BR,Ariana Durr
25120-238328,Aeroporto Galeao Mezanino,Rio de Janeiro,BR,Larry Tesch
24957-239367,Assembleia x Carmo,Rio de Janeiro,BR,Shirley Carpenter
17029-178774,Visconde de Piraja,Rio de Janeiro,BR,Sheldon Carbo
26236-238690,Ataulfo de Paiva 313,Rio de Janeiro,BR,Stephen Hammonds
1616-129745,Shopping Rio Sul,Rio de Janeiro,BR,Kay Marsh
15077-144229,Botafogo Praia Shopping,Rio de Janeiro,BR,Apolonia Danley
17622-182367,Shopping Tijuca,Rio de Janeiro,BR,Laura Pistilli
27154-153758,New York City Center,Rio de Janeiro,BR,Alejandro Escobar
17032-178778,Norte Shopping,Rio de Janeiro,BR,Ann Hendrix
21347-211845,Shopping Nova America 2,Rio de Janeiro,BR,Robert Robinson
16262-168204,Goncalves Dias,Rio de Janeiro,BR,Kevin Murphy
17575-183485,Cinema Odeon,Rio de Janeiro,BR,Bobby Sisneros
23181-228184,Miguel Couto,Rio de Janeiro,BR,Grace Crosby
16511-172333,Edificio Argentina,Rio de Janeiro,BR,Kelly Shafer
16512-172326,Shopping Via Parque,Rio de Janeiro,BR,John Apodaca
1597-144232,Downtown Shopping,Rio de Janeiro,BR,Joan Pauling
19039-198109,Nossa Senhora de Copacabana,Rio de Janeiro,BR,Carl Rodriguez
15072-205624,Shopping Leblon Kiosk,Rio de Janeiro,BR,Sophie Schafer
21722-214113,Barra Shopping 3,Rio de Janeiro,BR,Donna Evey
20361-204804,Shopping Plaza Sul,Atrium Térreo,BR,Robbie James
1620-137556,Shopping Tambore,Barueri,BR,Frank Sampson
23537-230924,Bauru Shopping,Bauru,BR,Charley Browne
15073-141445,Parque D. Pedro Shopping,Campinas,BR,Joshua Yeadon
22630-222405,Campinas Shopping,Campinas,BR,Adam Johnson
22049-217325,Aer. Intl. Viracopos Desembarque,Campinas,BR,Sabine Nunmaker
22050-217324,Aer. Intl. Viracopos Embarque,Campinas,BR,Irene Olivia
15075-132765,Cambui,Campinas,BR,Elizabeth Balas
15088-132764,Shopping Iguatemi Campinas,Campinas,BR,Jerry Hughes
16820-172334,Galleria Shopping,Campinas,BR,David White
21346-210669,Aero Intl GRU TermII Mezzanine,Guarulhos,BR,Thomas Black
21404-212164,Aero Guarulhos Term II Sup Finger,Guarulhos,BR,Terrell Palka
22074-252023,Aeroporto Intl Guarulhos III,Guarulhos,BR,Linda Jackson
21240-209666,Shopping Intl de Guarulhos Kiosk,Guarulhos,BR,Jim Appling
23069-227505,Parque Shopping Maia B,Guarulhos,BR,Archie James
21349-210668,Aero Intl GRU TermII Praca,Guarulhos,BR,Sarah Wilson
22886-225568,Shopping Piracicaba,Piracicaba,BR,Humberto Metevier
20462-205664,Iguatemi Ribeirao Preto,Ribeirao Preto,BR,John Edwards
21496-211625,Ribeirao Shopping Store 2,Ribeirao Preto,BR,Amos Watson
19113-196825,Ribeirao Shop Quiosque Expansao C&C,Ribeirao Preto,BR,Toby Waid
16179-165745,Shopping ABC,Santo Andre,BR,Daniel Etheridge
23697-232164,Praiamar Shopping,Santos,BR,Richard Moten
18892-196485,Sao Bernado Plaza Shopping,Sao Bernardo do Campo,BR,Joshua Ahart
21501-211525,Shopping Metropole  Saraiva,Sao Bernardo do Campo,BR,Barbara Carter
16270-153754,Park Shopping São Caetano,Sao Caetano,BR,Linda Richburg
19116-198104,Colinas Shopping,Sao Jose do Campos,BR,Mary Rivera
19036-198105,Center Vale Shopping,Sao Jose do Campos,BR,Allison Hill
19154-196844,Rio Preto Shopping,Sao Jose do Rio Preto,BR,Alyssa Brooks
22625-221985,Iguatemi Rio Preto,Sao Jose do Rio Preto,BR,Courtney Miller
22787-224488,Vale Sul 2,Sao Jose dos Campos,BR,John Hall
24812-236264,Hospital Beneficencia Portuguesa,Sao Paulo,BR,Pedro Palmer
24953-238607,Aeroporto de Congonhas Cafe,Sao Paulo,BR,Carol Corral
15083-119364,Shopping Center 3,Sao Paulo,BR,Katherine Guest
25258-218466,CCP Shopping Cidade Sao Paulo,Sao Paulo,BR,Richard Walker
16828-174131,"Pavao, 667",Sao Paulo,BR,Elizabeth Balas
26526-244252,Metro Santa Cruz Store 2,Sao Paulo,BR,Eli Bender
13018-155344,Haddock Lobo,Sao Paulo,BR,Connie Gould
17030-178614,Shopping Metrô Boulevard Tatuapé,Sao Paulo,BR,Vicki Ramirez
17076-174965,Shopping Metro Tucuruvi,Sao Paulo,BR,Courtney Limberg
22747-223964,Paulista 2026,Sao Paulo,BR,Drew Moore
16732-171265,Berrini,Sao Paulo,BR,Lola Bedeau
15076-137360,Shopping Center Norte,Sao Paulo,BR,Lula Trinidad
23535-230929,Paulista 500,Sao Paulo,BR,John Hayes
15087-119368,Bourbon Shopping,Sao Paulo,BR,Stephen Hammonds
15071-139724,Shopping Villa Lobos,Sao Paulo,BR,Robert Anderson
17760-185965,E-business,Sao Paulo,BR,Isaac Seigler
18850-196006,Metro Tatuape,Sao Paulo,BR,Kelly Towne
20182-203439,Shopping Paulista Saraiva,Sao Paulo,BR,Martin Chauvin
21972-216324,Shopping Frei Caneca Kiosk,Sao Paulo,BR,Grant Cline
